follower_id,repo_id,rating
300,10045,1
300,10045,1
300,10045,1
300,12195,1
300,13511,1
300,15842,1
300,17049,1
300,17971,1
300,19549,1
300,20443,1
300,20443,1
300,20443,1
300,23626,1
300,25213,1
300,25334,1
300,25334,1
300,25334,1
300,25452,1
300,25452,1
300,26341,1
300,26341,1
300,34190,1
300,34204,1
300,35731,1
300,35731,1
300,38721,1
300,39203,1
300,40819,1
300,41037,1
300,42025,1
300,42025,1
300,43290,1
300,43290,1
300,43290,1
300,43895,1
300,44659,1
300,45162,1
300,45162,1
300,49785,1
300,50321,1
300,50332,1
300,50432,1
300,54701,1
300,54818,1
300,57107,1
300,59673,1
300,60595,1
300,66412,1
300,73294,1
300,74981,1
300,74981,1
300,76769,1
300,80044,1
300,85435,1
300,86955,1
300,86981,1
300,91547,1
300,91547,1
300,94232,1
300,94658,1
300,94807,1
300,97295,1
300,106815,1
300,106815,1
300,112911,1
300,113075,1
300,113109,1
300,114093,1
300,114289,1
300,120322,1
300,120851,1
300,121643,1
300,122366,1
300,123472,1
300,127092,1
300,127624,1
300,133905,1
300,134925,1
300,135606,1
300,136703,1
300,139548,1
300,141596,1
300,146624,1
300,149451,1
300,151032,1
300,151530,1
300,153030,1
300,155374,1
300,158355,1
300,163374,1
300,163918,1
300,167621,1
300,185439,1
300,227512,1
300,248135,1
300,248135,1
300,259112,1
300,289440,1
300,294337,1
300,294337,1
300,294337,1
300,298141,1
300,302327,1
300,305769,1
300,311431,1
300,341535,1
300,365607,1
300,365607,1
300,378566,1
300,378566,1
300,392972,1
300,392972,1
300,435349,1
300,446565,1
300,469172,1
300,490432,1
300,495993,1
300,495993,1
300,517795,1
300,540875,1
300,541249,1
300,542846,1
300,572967,1
300,584531,1
300,588089,1
300,609814,1
300,613734,1
300,620450,1
300,642624,1
300,659240,1
300,697273,1
300,707849,1
300,737226,1
300,738565,1
300,751959,1
300,759459,1
300,767575,1
300,771236,1
300,817065,1
300,817065,1
300,818361,1
300,829334,1
300,847539,1
300,847539,1
300,868900,1
300,971215,1
300,971215,1
300,991370,1
300,1085965,1
