follower_id,repo_id,rating,,
304,63294,1,,
304,63664,1,,
304,67267,1,,
304,67324,1,,
304,70252,1,,
304,84791,1,,
304,89813,1,,
304,94279,1,,
304,98426,1,,
304,115285,1,,
304,115546,1,,
304,127377,1,,
304,133457,1,,
304,148910,1,,
304,158555,1,,
304,159559,1,,
304,166632,1,,
304,184044,1,,
304,187518,1,,
304,187914,1,,
304,199120,1,,
304,202631,1,,
304,203081,1,,
304,207379,1,,
304,208214,1,,
304,208944,1,,
304,209994,1,,
304,221388,1,,
304,221465,1,,
304,221991,1,,
304,244160,1,,
304,250552,1,,
304,264955,1,,
304,280914,1,,
304,287523,1,,
304,302561,1,,
304,304445,1,,
304,311553,1,,
304,319662,1,,
304,343704,1,,
304,388627,1,,
304,389601,1,,
304,397973,1,,
304,400270,1,,
304,441649,1,,
304,442842,1,,
304,443929,1,,
304,465599,1,,
304,509156,1,,
304,521981,1,,
304,525537,1,,
304,551670,1,,
304,576823,1,,
304,583002,1,,
304,603841,1,,
304,611388,1,,
304,629018,1,,
304,690764,1,,
304,711167,1,,
304,759228,1,,
304,816668,1,,
304,885144,1,,
304,888961,1,,
304,898600,1,,
304,959215,1,,
304,1018472,1,,
304,1021253,1,,
304,1065470,1,,
304,1117617,1,,
304,1145534,1,,
304,1350219,1,,
304,1397631,1,,
304,1450323,1,,
304,1503090,1,,
304,1809547,1,,
304,1825429,1,,
304,2197131,1,,
304,2997769,1,,
304,3240831,1,,
304,3829209,1,,
304,3911481,1,,
304,4076046,1,,
304,5074093,1,,
304,5185470,1,,
314,45065,1,,
314,46286,1,,
314,214686,1,,
366,251,1,,
366,380,1,,
366,707,1,,
366,1022,1,,
366,2770,1,,
366,2772,1,,
366,3129,1,,
366,3855,1,,
366,4028,1,,
366,4661,1,,
366,6111,1,,
366,6151,1,,
366,6360,1,,
366,7589,1,,
366,8109,1,,
366,8343,1,,
366,8702,1,,
366,9839,1,,
366,11780,1,,
366,12320,1,,
366,12440,1,,
366,13091,1,,
366,15392,1,,
366,15856,1,,
366,16794,1,,
366,17056,1,,
366,17107,1,,
366,19363,1,,
366,20099,1,,
366,23034,1,,
366,25979,1,,
366,26317,1,,
366,26447,1,,
366,26994,1,,
366,27150,1,,
366,29395,1,,
366,29455,1,,
366,30257,1,,
366,31408,1,,
