follower_id,repo_id,rating
304,8514,1
304,8525,1
304,8547,1
304,8845,1
304,8845,1
304,9431,1
304,9682,1
304,9687,1
304,9877,1
304,9877,1
304,9905,1
304,9941,1
304,10042,1
304,10696,1
304,11289,1
304,11405,1
304,11468,1
304,11684,1
304,11738,1
304,12890,1
304,12918,1
304,13252,1
304,14328,1
304,14382,1
304,14417,1
304,14566,1
304,14773,1
304,15698,1
304,16924,1
304,17384,1
304,19354,1
304,19632,1
304,20629,1
304,21218,1
304,21318,1
304,21318,1
304,21354,1
304,21671,1
304,22164,1
304,22867,1
304,23722,1
304,24981,1
304,25380,1
304,25792,1
304,25823,1
304,25884,1
304,26215,1
304,26492,1
304,26676,1
304,26839,1
304,27177,1
304,27181,1
304,27566,1
304,27650,1
304,27941,1
304,27979,1
304,28258,1
304,28485,1
304,29149,1
304,29172,1
304,29890,1
304,31283,1
304,31303,1
304,32230,1
304,32519,1
304,33605,1
304,34267,1
304,35734,1
304,36245,1
304,37561,1
304,39338,1
304,39863,1
304,40073,1
304,40898,1
304,40898,1
304,42776,1
304,43331,1
304,43331,1
304,43331,1
304,44898,1
304,47521,1
304,50889,1
304,51229,1
304,51257,1
304,54973,1
304,55283,1
304,58130,1
304,60046,1
304,60449,1
304,60708,1
304,62455,1
304,62581,1
304,63391,1
304,70616,1
304,71844,1
304,72596,1
304,73133,1
304,74555,1
304,75918,1
304,84812,1
304,85264,1
304,89664,1
304,103667,1
304,108036,1
304,110017,1
304,116877,1
304,119226,1
304,119634,1
304,119967,1
304,124562,1
304,126445,1
304,127144,1
304,128565,1
304,129679,1
304,141544,1
304,142530,1
304,142595,1
304,145679,1
304,146476,1
304,148620,1
304,150171,1
304,152103,1
304,152438,1
304,152898,1
304,153158,1
304,155782,1
304,157969,1
304,158958,1
304,161455,1
304,162889,1
304,166094,1
304,168108,1
304,169057,1
304,169470,1
304,169477,1
304,171835,1
304,173116,1
304,174405,1
304,175163,1
304,182528,1
304,183021,1
304,183981,1
304,184003,1
304,184003,1
304,190363,1
304,196098,1
304,197248,1
304,200704,1
